column_name,source_table,domain,role,allowed_for_bias,candidate_hypotheses,candidate_hypotheses_reason
usfs_HUExposure_mean,national-usfs-wildfire-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
usfs_HUImpact_mean,national-usfs-wildfire-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
usfs_HURisk_mean,national-usfs-wildfire-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
usfs_PopCount_sum,national-usfs-wildfire-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
usfs_PopDen_mean,national-usfs-wildfire-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
usfs_edition,national-usfs-wildfire-tract-table,wildfire,vintage_metadata,False,,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain"
usfs_extent,national-usfs-wildfire-tract-table,wildfire,vintage_metadata,False,,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain"
epht_covered,national-epht-heat-tract-table,heat,coverage_flag,True,Measurement Eligibility Bias,a <source>_covered flag — whether this strata source has data for a tract at all is exactly what Measurement Eligibility Bias asks
epht_heat_days_summer,national-epht-heat-tract-table,heat,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,heat-domain measurement — generic vulnerability/hazard covariate raw material
epht_heat_days_annual,national-epht-heat-tract-table,heat,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,heat-domain measurement — generic vulnerability/hazard covariate raw material
epht_heat_events_summer,national-epht-heat-tract-table,heat,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,heat-domain measurement — generic vulnerability/hazard covariate raw material
epht_threshold,national-epht-heat-tract-table,heat,vintage_metadata,False,,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain"
epht_metric,national-epht-heat-tract-table,heat,vintage_metadata,False,,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain"
epht_year_min,national-epht-heat-tract-table,heat,vintage_metadata,False,,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain"
epht_year_max,national-epht-heat-tract-table,heat,vintage_metadata,False,,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain"
carbonplan_covered,national-carbonplan-tract-table,wildfire,coverage_flag,True,Measurement Eligibility Bias,a <source>_covered flag — whether this strata source has data for a tract at all is exactly what Measurement Eligibility Bias asks
carbonplan_buildings,national-carbonplan-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
carbonplan_bp_2011_mean,national-carbonplan-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
carbonplan_bp_2011_median,national-carbonplan-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
carbonplan_bp_2047_mean,national-carbonplan-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
carbonplan_crps_mean,national-carbonplan-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
carbonplan_rps_2011_mean,national-carbonplan-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
carbonplan_rps_2011_median,national-carbonplan-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
carbonplan_rps_2047_mean,national-carbonplan-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
carbonplan_version,national-carbonplan-tract-table,wildfire,vintage_metadata,False,,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain"
usgs_covered,national-usgs-combined-tract-table,wildfire,coverage_flag,True,Measurement Eligibility Bias,a <source>_covered flag — whether this strata source has data for a tract at all is exactly what Measurement Eligibility Bias asks
usgs_wildland_fire_burned_pct_area,national-usgs-combined-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
usgs_wildfire_burned_pct_area,national-usgs-combined-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
usgs_wildfire_pct_area_2plus,national-usgs-combined-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
usgs_prescribed_burned_pct_area,national-usgs-combined-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
usgs_wildfire_return_interval_years,national-usgs-combined-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
usgs_wildfire_fires_per_burned_pixel,national-usgs-combined-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
usgs_first_year_burned,national-usgs-combined-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
usgs_last_year_burned,national-usgs-combined-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
usgs_years_since_last_fire,national-usgs-combined-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
usgs_wildfire_ever,national-usgs-combined-tract-table,wildfire,derived_ever_flag,True,Measurement Eligibility Bias; Component Dominance,real per-tract hazard-history signal (paired with its own _covered flag) that feeds both the measurement-eligibility question and the component-dominance vulnerability crosstab
usgs_record_start,national-usgs-combined-tract-table,wildfire,vintage_metadata,False,,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain"
usgs_record_end,national-usgs-combined-tract-table,wildfire,vintage_metadata,False,,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain"
mtbs_covered,national-mtbs-tract-table,wildfire,coverage_flag,True,Measurement Eligibility Bias,a <source>_covered flag — whether this strata source has data for a tract at all is exactly what Measurement Eligibility Bias asks
mtbs_wildfire_burned_pct_land,national-mtbs-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
mtbs_wildfire_burned_km2,national-mtbs-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
mtbs_wildfire_fires,national-mtbs-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
mtbs_wildfire_last_year,national-mtbs-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
mtbs_wildfire_ever,national-mtbs-tract-table,wildfire,derived_ever_flag,True,Measurement Eligibility Bias; Component Dominance,real per-tract hazard-history signal (paired with its own _covered flag) that feeds both the measurement-eligibility question and the component-dominance vulnerability crosstab
mtbs_years_since_wildfire,national-mtbs-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
mtbs_prescribed_burned_pct_land,national-mtbs-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
mtbs_year_min,national-mtbs-tract-table,wildfire,vintage_metadata,False,,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain"
