column_name,source_table,domain,dtype,role,n_distinct_national,allowed_for_scoring,scoring_reason,allowed_for_bias,bias_reason
ruca_year,national-ruca-tract-table,rurality,int64,vintage_metadata,1,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",False,"constant across all tracts nationally (n_distinct=1) — carries no discriminative signal for any bias analysis, regardless of role"
rucc_covered,national-rucc-tract-table,rurality,bool,coverage_flag,1,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",False,"constant across all tracts nationally (n_distinct=1) — carries no discriminative signal for any bias analysis, regardless of role"
rucc_2023,national-rucc-tract-table,rurality,int64,measurement,9,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
rucc_desc,national-rucc-tract-table,rurality,string,measurement,9,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
rucc_metro,national-rucc-tract-table,rurality,bool,measurement,2,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
rucc_year,national-rucc-tract-table,rurality,int64,vintage_metadata,1,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",False,"constant across all tracts nationally (n_distinct=1) — carries no discriminative signal for any bias analysis, regardless of role"
nchs_covered,national-nchs-tract-table,rurality,bool,coverage_flag,2,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,"central to Measurement Eligibility Bias analysis (whether a hazard/vulnerability measurement exists for a tract at all, cross-tabulated against SVI/tribal/rurality/hazard exposure)"
nchs_2013,national-nchs-tract-table,rurality,double,measurement,6,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
nchs_2013_label,national-nchs-tract-table,rurality,string,measurement,6,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
nchs_year,national-nchs-tract-table,rurality,int64,vintage_metadata,1,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",False,"constant across all tracts nationally (n_distinct=1) — carries no discriminative signal for any bias analysis, regardless of role"
tribal_any,national-tribal-tract-table,tribal,bool,measurement,2,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
tribal_pct,national-tribal-tract-table,tribal,double,measurement,1376,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
tribal_legal,national-tribal-tract-table,tribal,bool,measurement,2,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
tribal_legal_pct,national-tribal-tract-table,tribal,double,measurement,1048,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
tribal_statistical,national-tribal-tract-table,tribal,bool,measurement,2,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
tribal_stat_pct,national-tribal-tract-table,tribal,double,measurement,358,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
aiannh_geoid,national-tribal-tract-table,tribal,string,identity_metadata,552,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,"descriptive/provenance label (which external entity a tract was matched to or overlaps), usable for named-instance or coarse-grouping bias analysis, not for anything for which its own cardinality can't support meaningful stratification"
aiannh_name,national-tribal-tract-table,tribal,string,identity_metadata,552,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,"descriptive/provenance label (which external entity a tract was matched to or overlaps), usable for named-instance or coarse-grouping bias analysis, not for anything for which its own cardinality can't support meaningful stratification"
aiannh_kind,national-tribal-tract-table,tribal,string,measurement,2,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
usdm_covered,national-usdm-drought-tract-table,drought,bool,coverage_flag,2,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,"central to Measurement Eligibility Bias analysis (whether a hazard/vulnerability measurement exists for a tract at all, cross-tabulated against SVI/tribal/rurality/hazard exposure)"
usdm_summer_dsci,national-usdm-drought-tract-table,drought,double,measurement,72943,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
usdm_summer_pct_d0plus,national-usdm-drought-tract-table,drought,double,measurement,66216,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
usdm_summer_pct_d2plus,national-usdm-drought-tract-table,drought,double,measurement,36916,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
usdm_winter_dsci,national-usdm-drought-tract-table,drought,double,measurement,72363,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
usdm_winter_pct_d0plus,national-usdm-drought-tract-table,drought,double,measurement,64516,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
usdm_winter_pct_d2plus,national-usdm-drought-tract-table,drought,double,measurement,39554,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
usdm_year_min,national-usdm-drought-tract-table,drought,int64,vintage_metadata,1,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",False,"constant across all tracts nationally (n_distinct=1) — carries no discriminative signal for any bias analysis, regardless of role"
usdm_year_max,national-usdm-drought-tract-table,drought,int64,vintage_metadata,1,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",False,"constant across all tracts nationally (n_distinct=1) — carries no discriminative signal for any bias analysis, regardless of role"
usfs_covered,national-usfs-wildfire-tract-table,wildfire,bool,coverage_flag,2,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,"central to Measurement Eligibility Bias analysis (whether a hazard/vulnerability measurement exists for a tract at all, cross-tabulated against SVI/tribal/rurality/hazard exposure)"
usfs_BP_mean,national-usfs-wildfire-tract-table,wildfire,double,measurement,79581,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
usfs_CFL_mean,national-usfs-wildfire-tract-table,wildfire,double,measurement,79492,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
usfs_CRPS_mean,national-usfs-wildfire-tract-table,wildfire,double,measurement,79591,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
usfs_RPS_mean,national-usfs-wildfire-tract-table,wildfire,double,measurement,79591,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
usfs_WHP_mean,national-usfs-wildfire-tract-table,wildfire,double,measurement,79492,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
usfs_Exposure_mean,national-usfs-wildfire-tract-table,wildfire,double,measurement,79591,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
