column_name,national_position,dtype,source_table,domain,attribution_method,n_null,pct_null,n_distinct,min,max,mean,sentinel_note,role,allowed_for_scoring,scoring_reason,allowed_for_bias,bias_reason,candidate_hypotheses,candidate_hypotheses_reason,present_in_regions,missing_from_regions,present_in_all_four_regions,region_only,profile_scope,vintage_status,vintage_note
pop_urban,10,int64,national-census-tract-table,population,unambiguous,0,0.0,8624,0.0,27117.0,3140.286851843178,,population,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,base population/urban-rural figures — directly needed for population-weighting critiques of any tract-mean disparity statistic,Population Exposure vs. Disparity; Component Dominance; Dispatch-Blind Reachability,"base population figures — directly needed for population-weighted disparity, weighted vulnerability crosstabs, and reachability covariates",eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,tract_vintage=2020 matches the 2020 TIGER/Line Census tract boundaries and P.L. 94-171 population base.
pop_rural,11,int64,national-census-tract-table,population,unambiguous,0,0.0,5990,0.0,16035.0,779.5121434259216,,population,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,base population/urban-rural figures — directly needed for population-weighting critiques of any tract-mean disparity statistic,Population Exposure vs. Disparity; Component Dominance; Dispatch-Blind Reachability,"base population figures — directly needed for population-weighted disparity, weighted vulnerability crosstabs, and reachability covariates",eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,tract_vintage=2020 matches the 2020 TIGER/Line Census tract boundaries and P.L. 94-171 population base.
pct_urban,12,double,national-census-tract-table,population,unambiguous,615,0.0072017424703733,21956,0.0,1.0,0.7747747506453658,,population,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,base population/urban-rural figures — directly needed for population-weighting critiques of any tract-mean disparity statistic,Population Exposure vs. Disparity; Component Dominance; Dispatch-Blind Reachability,"base population figures — directly needed for population-weighted disparity, weighted vulnerability crosstabs, and reachability covariates",eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,tract_vintage=2020 matches the 2020 TIGER/Line Census tract boundaries and P.L. 94-171 population base.
ur_class,13,string,national-census-tract-table,population,unambiguous,615,0.0072017424703733,2,,,,,population,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,base population/urban-rural figures — directly needed for population-weighting critiques of any tract-mean disparity statistic,Population Exposure vs. Disparity; Component Dominance; Dispatch-Blind Reachability,"base population figures — directly needed for population-weighted disparity, weighted vulnerability crosstabs, and reachability covariates",eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,tract_vintage=2020 matches the 2020 TIGER/Line Census tract boundaries and P.L. 94-171 population base.
tract_vintage,14,int64,national-census-tract-table,geography,shared-backbone,0,0.0,1,2020.0,2020.0,2020.0,,vintage_metadata,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",False,"constant across all tracts nationally (n_distinct=1) — carries no discriminative signal for any bias analysis, regardless of role",,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain",,eastern-ok;maricopa-az;northern-ca;south-central-tx,False,False,"national (85,396 tracts)",confirmed,tract_vintage=2020 matches the 2020 TIGER/Line Census tract boundaries and P.L. 94-171 population base.
svi_covered,15,bool,national-svi-tract-table,svi,unambiguous,0,0.0,2,,,,,coverage_flag,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,"central to Measurement Eligibility Bias analysis (whether a hazard/vulnerability measurement exists for a tract at all, cross-tabulated against SVI/tribal/rurality/hazard exposure)",Measurement Eligibility Bias,a <source>_covered flag — whether this strata source has data for a tract at all is exactly what Measurement Eligibility Bias asks,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,svi_year=2022 is CDC/ATSDR's current full SVI release (2018-2022 5-year ACS).
svi_rank_universe,16,string,national-svi-tract-table,svi,unambiguous,337,0.0039463206707574,2,,,,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,svi-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,svi_year=2022 is CDC/ATSDR's current full SVI release (2018-2022 5-year ACS).
svi_overall,17,double,national-svi-tract-table,svi,unambiguous,1135,0.0132910206567052,10001,0.0,1.0,0.4999938536214856,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,svi-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,svi_year=2022 is CDC/ATSDR's current full SVI release (2018-2022 5-year ACS).
svi_socioeconomic,18,double,national-svi-tract-table,svi,unambiguous,1135,0.0132910206567052,9997,0.0,1.0,0.4999873084819787,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,svi-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,svi_year=2022 is CDC/ATSDR's current full SVI release (2018-2022 5-year ACS).
svi_household,19,double,national-svi-tract-table,svi,unambiguous,1117,0.0130802379502552,9919,0.0,1.0,0.4999775638059303,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,svi-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,svi_year=2022 is CDC/ATSDR's current full SVI release (2018-2022 5-year ACS).
svi_minority,20,double,national-svi-tract-table,svi,unambiguous,857,0.0100355988570893,1064,0.0,0.9954,0.498093063556465,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,svi-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,svi_year=2022 is CDC/ATSDR's current full SVI release (2018-2022 5-year ACS).
svi_housing_transport,21,double,national-svi-tract-table,svi,unambiguous,1116,0.0130685277998969,9861,0.0,1.0,0.4999655897009967,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,svi-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,svi_year=2022 is CDC/ATSDR's current full SVI release (2018-2022 5-year ACS).
svi_pop,22,double,national-svi-tract-table,svi,unambiguous,337,0.0039463206707574,8577,0.0,38907.0,3931.035810437461,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,svi-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,svi_year=2022 is CDC/ATSDR's current full SVI release (2018-2022 5-year ACS).
svi_year,23,int64,national-svi-tract-table,svi,unambiguous,0,0.0,1,2022.0,2022.0,2022.0,,vintage_metadata,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",False,"constant across all tracts nationally (n_distinct=1) — carries no discriminative signal for any bias analysis, regardless of role",,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain",eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,svi_year=2022 is CDC/ATSDR's current full SVI release (2018-2022 5-year ACS).
cvi_covered,24,bool,national-cvi-tract-table,cvi,unambiguous,0,0.0,2,,,,,coverage_flag,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,"central to Measurement Eligibility Bias analysis (whether a hazard/vulnerability measurement exists for a tract at all, cross-tabulated against SVI/tribal/rurality/hazard exposure)",Measurement Eligibility Bias,a <source>_covered flag — whether this strata source has data for a tract at all is exactly what Measurement Eligibility Bias asks,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed_with_clarification,"cvi_source_vintage=2010 is the CVI methodology's deliberately-chosen Census geography vintage, not its 2023 publication year or its ~2017-2019 underlying-data years."
cvi_xwalk_coverage,25,double,national-cvi-tract-table,cvi,unambiguous,362,0.0042390744297156,2,0.0,1.0,0.9889573582331772,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,cvi-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed_with_clarification,"cvi_source_vintage=2010 is the CVI methodology's deliberately-chosen Census geography vintage, not its 2023 publication year or its ~2017-2019 underlying-data years."
cvi_overall,26,double,national-cvi-tract-table,cvi,unambiguous,1301,0.0152349056161881,76853,0.229955738577128,0.751814096886698,0.5020835642712295,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,cvi-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed_with_clarification,"cvi_source_vintage=2010 is the CVI methodology's deliberately-chosen Census geography vintage, not its 2023 publication year or its ~2017-2019 underlying-data years."
cvi_baseline,27,double,national-cvi-tract-table,cvi,unambiguous,1301,0.0152349056161881,76937,0.1468804402808567,0.845724829962865,0.4849598249770764,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; CVI Pillar Decomposition,"cvi-domain measurement — generic vulnerability/hazard covariate raw material; also a specific CVI pillar/sub-score column, feeding CVI Pillar Decomposition directly",eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed_with_clarification,"cvi_source_vintage=2010 is the CVI methodology's deliberately-chosen Census geography vintage, not its 2023 publication year or its ~2017-2019 underlying-data years."
cvi_climate,28,double,national-cvi-tract-table,cvi,unambiguous,1301,0.0152349056161881,76527,0.17677913613291,0.826423166831028,0.5249152166634334,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; CVI Pillar Decomposition,"cvi-domain measurement — generic vulnerability/hazard covariate raw material; also a specific CVI pillar/sub-score column, feeding CVI Pillar Decomposition directly",eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed_with_clarification,"cvi_source_vintage=2010 is the CVI methodology's deliberately-chosen Census geography vintage, not its 2023 publication year or its ~2017-2019 underlying-data years."
cvi_baseline_health,29,double,national-cvi-tract-table,cvi,unambiguous,1301,0.0152349056161881,76876,0.0,1.0,0.4947955620607381,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; CVI Pillar Decomposition,"cvi-domain measurement — generic vulnerability/hazard covariate raw material; also a specific CVI pillar/sub-score column, feeding CVI Pillar Decomposition directly",eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed_with_clarification,"cvi_source_vintage=2010 is the CVI methodology's deliberately-chosen Census geography vintage, not its 2023 publication year or its ~2017-2019 underlying-data years."
cvi_baseline_socioeconomic,30,double,national-cvi-tract-table,cvi,unambiguous,1301,0.0152349056161881,76814,0.0087464962283526,1.0,0.5098316052704672,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; CVI Pillar Decomposition,"cvi-domain measurement — generic vulnerability/hazard covariate raw material; also a specific CVI pillar/sub-score column, feeding CVI Pillar Decomposition directly",eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed_with_clarification,"cvi_source_vintage=2010 is the CVI methodology's deliberately-chosen Census geography vintage, not its 2023 publication year or its ~2017-2019 underlying-data years."
cvi_baseline_infrastructure,31,double,national-cvi-tract-table,cvi,unambiguous,1301,0.0152349056161881,76852,0.0,1.0,0.4723441285685952,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; CVI Pillar Decomposition,"cvi-domain measurement — generic vulnerability/hazard covariate raw material; also a specific CVI pillar/sub-score column, feeding CVI Pillar Decomposition directly",eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed_with_clarification,"cvi_source_vintage=2010 is the CVI methodology's deliberately-chosen Census geography vintage, not its 2023 publication year or its ~2017-2019 underlying-data years."
cvi_baseline_environment,32,double,national-cvi-tract-table,cvi,unambiguous,1301,0.0152349056161881,76948,0.0271545675850685,1.0,0.4628680040085051,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; CVI Pillar Decomposition,"cvi-domain measurement — generic vulnerability/hazard covariate raw material; also a specific CVI pillar/sub-score column, feeding CVI Pillar Decomposition directly",eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed_with_clarification,"cvi_source_vintage=2010 is the CVI methodology's deliberately-chosen Census geography vintage, not its 2023 publication year or its ~2017-2019 underlying-data years."
cvi_climate_health,33,double,national-cvi-tract-table,cvi,unambiguous,1301,0.0152349056161881,75269,0.0002887379947552,1.0,0.5312884984841636,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; CVI Pillar Decomposition,"cvi-domain measurement — generic vulnerability/hazard covariate raw material; also a specific CVI pillar/sub-score column, feeding CVI Pillar Decomposition directly",eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed_with_clarification,"cvi_source_vintage=2010 is the CVI methodology's deliberately-chosen Census geography vintage, not its 2023 publication year or its ~2017-2019 underlying-data years."
cvi_climate_socioeconomic,34,double,national-cvi-tract-table,cvi,unambiguous,1301,0.0152349056161881,76667,0.0,1.0,0.535821673872506,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; CVI Pillar Decomposition,"cvi-domain measurement — generic vulnerability/hazard covariate raw material; also a specific CVI pillar/sub-score column, feeding CVI Pillar Decomposition directly",eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed_with_clarification,"cvi_source_vintage=2010 is the CVI methodology's deliberately-chosen Census geography vintage, not its 2023 publication year or its ~2017-2019 underlying-data years."
